place_origin,place_dest,route_prob_fix_origin,haversine_miles
Florence,Rome,0.271005917,143.9430711
Rome,Naples,0.417788802,117.098718
Naples,Rome,0.418341709,117.098718
Rome,Bologna,0.026576896,189.3399604
Bologna,Florence,0.2928,50.87901401
Florence,Naples,0.078106509,253.9211665
Venice,Naples,0.042868277,332.3094268
Naples,Venice,0.049832496,332.3094268
Florence,Naples,0.078106509,253.9211665
Naples,Florence,0.066582915,253.9211665
England,Turin,0.124260355,571.6688294
Turin,Milan,0.200594354,77.33653397
Milan,Florence,0.080508475,155.0669643
Florence,Rome,0.271005917,143.9430711
Rome,Naples,0.417788802,117.098718
Naples,Paestum,0.018844221,49.02280466
Paestum,Capua,0.196969697,62.93264134
Capua,Rome,0.251428571,104.815049
Rome,Spa,0.004252303,672.5671156
London,Venice,0.065989848,706.1950949
Venice,Rome,0.116134061,245.0927118
Rome,Naples,0.417788802,117.098718
Naples,Florence,0.066582915,253.9211665
Florence,Leghorn,0.04556213,49.29696713
Leghorn,London,0.012711864,733.2532934
London,Venice,0.065989848,706.1950949
Venice,Rome,0.116134061,245.0927118
Rome,Naples,0.417788802,117.098718
Naples,Florence,0.066582915,253.9211665
Florence,Leghorn,0.04556213,49.29696713
Leghorn,London,0.012711864,733.2532934
London,Venice,0.065989848,706.1950949
Venice,Rome,0.116134061,245.0927118
Rome,Naples,0.417788802,117.098718
Naples,Florence,0.066582915,253.9211665
Florence,Leghorn,0.04556213,49.29696713
London,Venice,0.065989848,706.1950949
Venice,Rome,0.116134061,245.0927118
Rome,Naples,0.417788802,117.098718
Naples,Florence,0.066582915,253.9211665
Florence,Leghorn,0.04556213,49.29696713
Leghorn,London,0.012711864,733.2532934
London,Venice,0.065989848,706.1950949
Venice,Rome,0.116134061,245.0927118
Rome,Naples,0.417788802,117.098718
Naples,Florence,0.066582915,253.9211665
Florence,Leghorn,0.04556213,49.29696713
London,Turin,0.121827411,571.685453
Turin,Milan,0.200594354,77.33653397
Milan,Parma,0.101694915,72.13733827
Parma,Modena,0.177777778,31.19027999
Modena,Bologna,0.465408805,22.9030701
Bologna,Florence,0.2928,50.87901401
Florence,Siena,0.070414201,31.54305131
Siena,Rome,0.490421456,114.5740732
Rome,Naples,0.417788802,117.098718
Naples,Sicily,0.028475712,196.1746343
Sicily,Malta,0.25203252,169.8491718
Malta,Tropea,0.02,208.5399292
Tropea,Calabria,0.333333333,46.75400014
Calabria,Paestum,0.1,102.3170392
Paestum,Naples,0.03030303,49.02280466
Naples,Rome,0.418341709,117.098718
Rome,Spoleto,0.005669738,59.45577904
Spoleto,Foligno,0.34375,15.46825648
Foligno,Perugia,0.090909091,19.19741329
Perugia,Florence,0.259259259,72.9074705
Florence,Pisa,0.050295858,42.68334025
Pisa,Leghorn,0.244837758,11.78537984
Leghorn,Genoa,0.05720339,90.74320246
Genoa,Parma,0.04845815,73.79165921
Parma,Mantua,0.048148148,33.38358394
Mantua,Vicenza,0.060606061,45.55645583
Vicenza,Padua,0.230215827,18.71091765
Padua,Venice,0.333333333,21.46928948
Venice,Cologne,0.001558846,452.8667156
Portsmouth,Leghorn,0.375,731.9656473
Leghorn,Civitavecchia,0.004237288,125.5351166
Civitavecchia,Rome,0.2,37.89253158
Rome,Naples,0.417788802,117.098718
Naples,Rome,0.418341709,117.098718
Rome,Naples,0.417788802,117.098718
Naples,Rome,0.418341709,117.098718
Rome,Florence,0.126860383,143.9430711
Florence,Venice,0.072781065,126.5001393
Venice,Vicenza,0.020265004,38.0752164
Vicenza,Padua,0.230215827,18.71091765
Padua,England,0.018292683,691.6327773
Venice,Switzerland,0.005455963,255.2072596
Switzerland,Rome,0.074626866,428.4573386
Rome,Naples,0.417788802,117.098718
Naples,Rome,0.418341709,117.098718
Rome,Verona,0.003897945,256.0023495
Verona,Munich,0.0125,188.5313408
Naples,Palermo,0.004606365,194.156987
London,Turin,0.121827411,571.685453
Turin,Rome,0.05794948,324.8410344
Rome,Naples,0.417788802,117.098718
Naples,southern Italy,0.000837521,208.3726445
southern Italy,Naples,1,208.3726445
Naples,Ischia,0.007118928,17.51964036
Ischia,Naples,0.083333333,17.51964036
Naples,Sicily,0.028475712,196.1746343
Sicily,Naples,0.37398374,196.1746343
Naples,Rome,0.418341709,117.098718
Rome,Padua,0.01275691,244.6378659
Padua,Veneto,0.004065041,18.47349769
Veneto,Florence,1,135.3874286
England,Turin,0.124260355,571.6688294
Turin,Genoa,0.172362556,75.7939505
Genoa,Parma,0.04845815,73.79165921
Parma,Modena,0.177777778,31.19027999
Modena,Bologna,0.465408805,22.9030701
Bologna,Loreto,0.0272,134.3908326
Loreto,Rome,0.233870968,121.1595216
Rome,Naples,0.417788802,117.098718
Naples,Rome,0.418341709,117.098718
Rome,Leghorn,0.013819986,158.7306667
Leghorn,Florence,0.209745763,49.29696713
Florence,Bologna,0.093491124,50.87901401
Bologna,Venice,0.2048,80.12894339
Venice,Verona,0.033515199,64.21229631
Verona,Milan,0.05625,87.64798594
England,Turin,0.124260355,571.6688294
Turin,Genoa,0.172362556,75.7939505
Genoa,Parma,0.04845815,73.79165921
Parma,Modena,0.177777778,31.19027999
Modena,Bologna,0.465408805,22.9030701
Bologna,Loreto,0.0272,134.3908326
Loreto,Rome,0.233870968,121.1595216
Rome,Naples,0.417788802,117.098718
Naples,Rome,0.418341709,117.098718
Rome,Leghorn,0.013819986,158.7306667
Leghorn,Florence,0.209745763,49.29696713
Florence,Bologna,0.093491124,50.87901401
Bologna,Venice,0.2048,80.12894339
Venice,Verona,0.033515199,64.21229631
Verona,Milan,0.05625,87.64798594
Venice,Rome,0.116134061,245.0927118
Rome,Naples,0.417788802,117.098718
Naples,Rome,0.418341709,117.098718
Rome,Florence,0.126860383,143.9430711
Venice,Rome,0.116134061,245.0927118
Rome,Naples,0.417788802,117.098718
Naples,Rome,0.418341709,117.098718
Venice,Naples,0.042868277,332.3094268
Naples,Rome,0.418341709,117.098718
Venice,Rome,0.116134061,245.0927118
Rome,Naples,0.417788802,117.098718
Naples,Rome,0.418341709,117.098718
Rome,Leghorn,0.013819986,158.7306667
Leghorn,Pisa,0.197033898,11.78537984
Pisa,Lucca,0.150442478,10.77460619
Lucca,Florence,0.276470588,37.16537867
Florence,Bologna,0.093491124,50.87901401
Bologna,Parma,0.056,54.0368056
Parma,Milan,0.085185185,72.13733827
Milan,Turin,0.213983051,77.33653397
Turin,Genoa,0.172362556,75.7939505
Pisa,Florence,0.300884956,42.68334025
Florence,Rome,0.271005917,143.9430711
Rome,Naples,0.417788802,117.098718
Naples,Florence,0.066582915,253.9211665
Florence,Geneva,0.001775148,300.8012918
Geneva,Venice,0.035714286,301.8057168
Venice,Heidelburg,0.000779423,322.3870386
Heidelburg,Mannheim,0.5,11.42834432
Mannheim,Tuscany,0.5,416.4419266
Tuscany,Pisa,0.1,42.40566525
Verona,Mantua,0.240625,21.81139943
Mantua,Florence,0.090909091,98.38518876
Florence,Pisa,0.050295858,42.68334025
Pisa,Florence,0.300884956,42.68334025
Florence,Venice,0.072781065,126.5001393
Venice,Verona,0.033515199,64.21229631
Verona,Germany,0.003125,188.5313408
Germany,Verona,0.2,188.5313408
Verona,Brescia,0.040625,37.5197949
Brescia,Milan,0.21875,50.90141963
Milan,Genoa,0.05720339,74.15259254
Genoa,France,0.004405286,437.9364466
France,Switzerland,0.2,270.3035988
Switzerland,Turin,0.208955224,130.5579198
Turin,Parma,0.022288262,129.8435361
Parma,Bologna,0.17037037,54.0368056
Bologna,Florence,0.2928,50.87901401
Florence,Pisa,0.050295858,42.68334025
Pisa,Leghorn,0.244837758,11.78537984
Leghorn,Siena,0.078389831,53.37161827
Siena,Rome,0.490421456,114.5740732
Rome,Naples,0.417788802,117.098718
Naples,Portici,0.007956449,4.751073996
Portici,Pompeii,0.0625,9.161372244
Pompeii,Rome,0.12195122,130.6790351
Rome,Ancona,0.001063076,130.1344252
Ancona,Venice,0.03030303,139.0128104
Venice,Milan,0.031956352,151.8292527
Milan,Turin,0.213983051,77.33653397
Turin,Switzerland,0.010401189,130.5579198
Switzerland,Germany,0.149253731,209.3196894
Germany,Milan,0.022222222,216.4518522
Milan,Florence,0.080508475,155.0669643
Florence,Rome,0.271005917,143.9430711
Rome,Florence,0.126860383,143.9430711
Florence,Pisa,0.050295858,42.68334025
Pisa,Leghorn,0.244837758,11.78537984
Leghorn,England,0.023305085,733.2439675
England,Portsmouth,0.003944773,64.33821945
Portsmouth,Leghorn,0.375,731.9656473
Leghorn,Rome,0.084745763,158.7306667
Rome,Naples,0.417788802,117.098718
Naples,Rome,0.418341709,117.098718
Rome,Naples,0.417788802,117.098718
Naples,Vienna,0.001256281,519.6775382
Vienna,Pisa,0.012820513,422.6823936
Pisa,Berlin,0.002949853,623.7028782
Berlin,England,0.142857143,577.6880118
Padua,Rome,0.093495935,244.6378659
Rome,Naples,0.417788802,117.098718
Naples,Rome,0.418341709,117.098718
Venice,Rome,0.116134061,245.0927118
Rome,Naples,0.417788802,117.098718
Naples,Venice,0.049832496,332.3094268
Venice,Geneva,0.007794232,301.8057168
Rome,Capua,0.018072289,104.815049
Capua,Naples,0.611428571,18.44843541
England,Turin,0.124260355,571.6688294
Turin,Milan,0.200594354,77.33653397
Milan,Parma,0.101694915,72.13733827
Parma,Reggio Emilia,0.081481481,16.50209993
Reggio Emilia,Modena,0.4,14.86722438
Modena,Bologna,0.465408805,22.9030701
Bologna,Loreto,0.0272,134.3908326
Loreto,Rome,0.233870968,121.1595216
Rome,Naples,0.417788802,117.098718
Naples,Portici,0.007956449,4.751073996
Portici,Naples,0.21875,4.751073996
Naples,Rome,0.418341709,117.098718
Rome,Florence,0.126860383,143.9430711
Florence,Bologna,0.093491124,50.87901401
Bologna,Venice,0.2048,80.12894339
Venice,Padua,0.155884645,21.46928948
Padua,Venice,0.333333333,21.46928948
Venice,Verona,0.033515199,64.21229631
Verona,London,0.0875,658.615531
Naples,Rome,0.418341709,117.098718
Rome,Geneva,0.001063076,432.995259
England,Turin,0.124260355,571.6688294
Turin,Milan,0.200594354,77.33653397
Milan,Parma,0.101694915,72.13733827
Parma,Reggio Emilia,0.081481481,16.50209993
Reggio Emilia,Modena,0.4,14.86722438
Modena,Bologna,0.465408805,22.9030701
Bologna,Loreto,0.0272,134.3908326
Loreto,Rome,0.233870968,121.1595216
Rome,Naples,0.417788802,117.098718
Naples,Portici,0.007956449,4.751073996
Portici,Naples,0.21875,4.751073996
Naples,Rome,0.418341709,117.098718
Rome,Florence,0.126860383,143.9430711
Florence,Bologna,0.093491124,50.87901401
Bologna,Venice,0.2048,80.12894339
Venice,Padua,0.155884645,21.46928948
Padua,Venice,0.333333333,21.46928948
Venice,Verona,0.033515199,64.21229631
Verona,London,0.0875,658.615531
England,Turin,0.124260355,571.6688294
Turin,Milan,0.200594354,77.33653397
Milan,Parma,0.101694915,72.13733827
Parma,Reggio Emilia,0.081481481,16.50209993
Reggio Emilia,Modena,0.4,14.86722438
Modena,Bologna,0.465408805,22.9030701
Bologna,Loreto,0.0272,134.3908326
Loreto,Rome,0.233870968,121.1595216
Rome,Naples,0.417788802,117.098718
Naples,Portici,0.007956449,4.751073996
Portici,Naples,0.21875,4.751073996
Naples,Rome,0.418341709,117.098718
Rome,Florence,0.126860383,143.9430711
Florence,Bologna,0.093491124,50.87901401
Bologna,Venice,0.2048,80.12894339
Venice,Padua,0.155884645,21.46928948
Padua,Venice,0.333333333,21.46928948
Venice,Verona,0.033515199,64.21229631
Verona,London,0.0875,658.615531
England,Turin,0.124260355,571.6688294
Turin,Milan,0.200594354,77.33653397
Milan,Parma,0.101694915,72.13733827
Parma,Reggio Emilia,0.081481481,16.50209993
Reggio Emilia,Modena,0.4,14.86722438
Modena,Bologna,0.465408805,22.9030701
Bologna,Loreto,0.0272,134.3908326
Loreto,Rome,0.233870968,121.1595216
Rome,Naples,0.417788802,117.098718
Naples,Portici,0.007956449,4.751073996
Portici,Naples,0.21875,4.751073996
Naples,Rome,0.418341709,117.098718
Rome,Florence,0.126860383,143.9430711
Florence,Bologna,0.093491124,50.87901401
Bologna,Venice,0.2048,80.12894339
Venice,Padua,0.155884645,21.46928948
Padua,Venice,0.333333333,21.46928948
Venice,Verona,0.033515199,64.21229631
Verona,London,0.0875,658.615531
Naples,Rome,0.418341709,117.098718
Rome,Florence,0.126860383,143.9430711
Florence,Bologna,0.093491124,50.87901401
Bologna,Venice,0.2048,80.12894339
Venice,Padua,0.155884645,21.46928948
Padua,Venice,0.333333333,21.46928948
Venice,Verona,0.033515199,64.21229631
Verona,London,0.0875,658.615531
Naples,Rome,0.418341709,117.098718
Rome,Florence,0.126860383,143.9430711
Florence,Bologna,0.093491124,50.87901401
Bologna,Venice,0.2048,80.12894339
Venice,Padua,0.155884645,21.46928948
Padua,Venice,0.333333333,21.46928948
Venice,Verona,0.033515199,64.21229631
Verona,London,0.0875,658.615531
Naples,Rome,0.418341709,117.098718
Rome,Florence,0.126860383,143.9430711
Florence,Bologna,0.093491124,50.87901401
Bologna,Venice,0.2048,80.12894339
Venice,Padua,0.155884645,21.46928948
Padua,Venice,0.333333333,21.46928948
Venice,Verona,0.033515199,64.21229631
Verona,London,0.0875,658.615531
Naples,Leghorn,0.017169179,274.9861199
Leghorn,Naples,0.088983051,274.9861199
Germany,Turin,0.044444444,280.7670469
Turin,Milan,0.200594354,77.33653397
Milan,Genoa,0.05720339,74.15259254
Genoa,Lerici,0.04185022,53.78094517
Lerici,Lucca,0.088235294,33.85954607
Lucca,Pisa,0.317647059,10.77460619
Pisa,Leghorn,0.244837758,11.78537984
Leghorn,Florence,0.209745763,49.29696713
Florence,Rome,0.271005917,143.9430711
Rome,Naples,0.417788802,117.098718
Naples,Rome,0.418341709,117.098718
Rome,Bologna,0.026576896,189.3399604
Bologna,Venice,0.2048,80.12894339
Venice,Padua,0.155884645,21.46928948
Padua,Vicenza,0.134146341,18.71091765
Vicenza,Verona,0.517985612,27.85186288
Verona,Bolzano,0.00625,75.05972044
Bolzano,Augsburg,0.333333333,131.299494
Turin,Florence,0.072808321,196.8953432
Florence,Rome,0.271005917,143.9430711
Rome,Naples,0.417788802,117.098718
Naples,Pompeii,0.00879397,13.8785872
Pompeii,Paestum,0.097560976,35.41739754
Paestum,Rome,0.333333333,166.0764817
Rome,Padua,0.01275691,244.6378659
Padua,Venice,0.333333333,21.46928948
Venice,Strasbourg,0.000779423,306.2916327
Naples,Rome,0.418341709,117.098718
Rome,Venice,0.075124026,245.0927118
Rome,Naples,0.417788802,117.098718
Naples,Venice,0.049832496,332.3094268
Venice,Naples,0.042868277,332.3094268
Venice,Rome,0.116134061,245.0927118
Rome,Naples,0.417788802,117.098718
Naples,Rome,0.418341709,117.098718
Rome,Florence,0.126860383,143.9430711
Florence,Venice,0.072781065,126.5001393
Turin,Milan,0.200594354,77.33653397
Milan,Verona,0.016949153,87.64798594
Verona,Vicenza,0.084375,27.85186288
Vicenza,Venice,0.079136691,38.0752164
Venice,Mantua,0.003897116,76.71803572
Mantua,Parma,0.136363636,33.38358394
Parma,Bologna,0.17037037,54.0368056
Bologna,Rome,0.0832,189.3399604
Rome,Naples,0.417788802,117.098718
Naples,Rome,0.418341709,117.098718
Rome,Florence,0.126860383,143.9430711
Florence,Pisa,0.050295858,42.68334025
Pisa,Parma,0.002949853,75.61228291
Parma,Mantua,0.048148148,33.38358394
Mantua,Rome,0.015151515,240.872418
Rome,Naples,0.417788802,117.098718
London,Rome,0.081218274,891.0614521
Rome,Naples,0.417788802,117.098718
Naples,Rome,0.418341709,117.098718
Rome,London,0.004252303,891.0614521
London,Rome,0.081218274,891.0614521
Rome,Naples,0.417788802,117.098718
Naples,Rome,0.418341709,117.098718
Rome,London,0.004252303,891.0614521
Rome,Naples,0.417788802,117.098718
Naples,Rome,0.418341709,117.098718
Rome,London,0.004252303,891.0614521
Bologna,Naples,0.0096,293.0943038
Naples,Padua,0.00879397,337.4359478
Padua,Venice,0.333333333,21.46928948
Venice,Loreto,0.003897116,152.0113596
Loreto,Rome,0.233870968,121.1595216
Rome,Naples,0.417788802,117.098718
Naples,Rome,0.418341709,117.098718
Rome,Padua,0.01275691,244.6378659
Padua,Rome,0.093495935,244.6378659
Rome,Florence,0.126860383,143.9430711
Florence,Turin,0.015976331,196.8953432
Turin,Milan,0.200594354,77.33653397
Milan,Turin,0.213983051,77.33653397
Turin,Venice,0.052005944,226.0731081
Venice,Vienna,0.021044427,270.8170109
Rome,Naples,0.417788802,117.098718
Naples,Rome,0.418341709,117.098718
Rome,Florence,0.126860383,143.9430711
Rome,Naples,0.417788802,117.098718
Naples,Rome,0.418341709,117.098718
Rome,Florence,0.126860383,143.9430711
Leghorn,Florence,0.209745763,49.29696713
Florence,Rome,0.271005917,143.9430711
Rome,Naples,0.417788802,117.098718
Naples,Pompeii,0.00879397,13.8785872
Pompeii,Paestum,0.097560976,35.41739754
